Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Activewear clothing features (product.metafields.shopify.activewear-clothing-features),Activity (product.metafields.shopify.activity),Age group (product.metafields.shopify.age-group),Bag/Case features (product.metafields.shopify.bag-case-features),Bag/Case material (product.metafields.shopify.bag-case-material),Bag/Case storage features (product.metafields.shopify.bag-case-storage-features),Care instructions (product.metafields.shopify.care-instructions),Carry options (product.metafields.shopify.carry-options),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Headwear features (product.metafields.shopify.headwear-features),Neckline (product.metafields.shopify.neckline),Outerwear clothing features (product.metafields.shopify.outerwear-clothing-features),Pants length type (product.metafields.shopify.pants-length-type),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Waist rise (product.metafields.shopify.waist-rise),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
cvms-girls-basketball-crewneck,CVMS Girls Basketball Crewneck,"<p><strong>Please be aware, your items will not be printed until the ""store"" closes. So, it may take longer than you anticipated to get your products. However, we promise to get them to you as quickly as possible. Thanks for your patience!! Your order will NOT be shipped. It will be delivered to the team.</strong></p>
<h1 class=""serif mar-b-20"">District<sup>®</sup><span> </span>V.I.T.<sup>™</sup><span> </span>Fleece Crew - DT6104</h1>
<p>Printed on our ""house"" District Brand Hoodie.</p>
<div>This soft fleece is everything and more at an unbeatable value.  </div>
<ul>
<li><span><span>8.3-ounce, 65/35 ring spun cotton/polyester</span></span></li>
<li><span><span>100% ring spun cotton face (Solids)</span></span></li>
<li><span><span>60/40 ring spun cotton/polyester (Heathers and Royal Frost)</span></span></li>
<li><span><span>Tear-away label</span></span></li>
<li><span><span>Dyed-to-match twill back neck tape</span></span></li>
<li><span><span>1x1 rib knit collar, cuffs and hem</span></span></li>
<li>
<span><span>Side seamed</span></span><br>
</li>
</ul>","White Space Design, LLC",Apparel & Accessories > Clothing > Clothing Tops > Hoodies,Crewneck Sweatshirt,"",true,Size,XS,,,,,,,,,127.5728540625,,0,deny,manual,26.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0587/6282/1695/files/DT6104_Heathered_Charcoal_CVMSgirlsbball.jpg?v=1763586966,1,"",false,,,,,adults,,,,,,,gray; red,triblend; polyester; rayon,,crew,,,,short,,,,https://cdn.shopify.com/s/files/1/0587/6282/1695/files/DT6104_Heathered_Charcoal_CVMSgirlsbball.jpg?v=1763586966,oz,,,unlisted
cvms-girls-basketball-crewneck,,,,,,,,,S,,,,,,,,,127.5728540625,,0,deny,manual,26.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0587/6282/1695/files/CVMS_Girls_Basetball_2.jpg?v=1763586966,2,"",,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0587/6282/1695/files/DT6104_Heathered_Charcoal_CVMSgirlsbball.jpg?v=1763586966,oz,,,
cvms-girls-basketball-crewneck,,,,,,,,,M,,,,,,,,,127.5728540625,,0,deny,manual,26.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0587/6282/1695/files/DT6104Y_District_Youth_Crew.jpg?v=1763586966,3,"",,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0587/6282/1695/files/DT6104_Heathered_Charcoal_CVMSgirlsbball.jpg?v=1763586966,oz,,,
cvms-girls-basketball-crewneck,,,,,,,,,L,,,,,,,,,127.5728540625,,0,deny,manual,26.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0587/6282/1695/files/DT6104_District_Adult_Crew.jpg?v=1763586966,4,"",,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0587/6282/1695/files/DT6104_Heathered_Charcoal_CVMSgirlsbball.jpg?v=1763586966,oz,,,
cvms-girls-basketball-crewneck,,,,,,,,,XL,,,,,,,,,127.5728540625,,0,deny,manual,26.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0587/6282/1695/files/DT6104_Heathered_Charcoal_CVMSgirlsbball.jpg?v=1763586966,oz,,,
cvms-girls-basketball-crewneck,,,,,,,,,2XL,,,,,,,,,127.5728540625,,0,deny,manual,26.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0587/6282/1695/files/DT6104_Heathered_Charcoal_CVMSgirlsbball.jpg?v=1763586966,oz,,,
cvms-girls-basketball-crewneck,,,,,,,,,3XL,,,,,,,,,127.5728540625,,0,deny,manual,26.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0587/6282/1695/files/DT6104_Heathered_Charcoal_CVMSgirlsbball.jpg?v=1763586966,oz,,,
cvms-girls-basketball-crewneck,,,,,,,,,4XL,,,,,,,,,127.5728540625,,0,deny,manual,26.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0587/6282/1695/files/DT6104_Heathered_Charcoal_CVMSgirlsbball.jpg?v=1763586966,oz,,,
cvms-girls-basketball-crewneck,,,,,,,,,Youth S,,,,,,,,,127.5728540625,,0,deny,manual,26.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0587/6282/1695/files/DT6104_Heathered_Charcoal_CVMSgirlsbball.jpg?v=1763586966,oz,,,
cvms-girls-basketball-crewneck,,,,,,,,,Youth M,,,,,,,,,127.5728540625,,0,deny,manual,26.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0587/6282/1695/files/DT6104_Heathered_Charcoal_CVMSgirlsbball.jpg?v=1763586966,oz,,,
